warehouse_code,order_date,order_num
AUMELA,2020-01-01 00:00:00,3
AUMELA,2020-01-28 00:00:00,10
AUMELA,2020-02-28 00:00:00,8
AUMELA,2020-02-29 00:00:00,4
AUMELA,2020-03-28 00:00:00,4
AUMELA,2020-04-05 00:00:00,81
AUMELA,2020-05-03 00:00:00,21
AUMELA,2020-06-05 00:00:00,68
AUMELA,2020-07-21 00:00:00,174
AUMELA,2020-07-29 00:00:00,141
AUMELA,2020-08-02 00:00:00,153
AUMELA,2020-10-20 00:00:00,5
AUMELA,2020-10-31 00:00:00,1
AUMELA,2020-11-30 00:00:00,7
AUMELA,2020-12-15 00:00:00,9
AUMELA,2021-01-02 00:00:00,15
AUMELB,2020-09-25 00:00:00,134
AUMELB,2020-10-06 00:00:00,159
AUMELB,2020-11-26 00:00:00,280
AUMELB,2020-12-27 00:00:00,182
AUMELB,2020-12-28 00:00:00,206
AUSYDA,2020-02-09 00:00:00,1073
AUSYDA,2020-02-19 00:00:00,1990
AUSYDA,2020-04-15 00:00:00,2162
AUSYDA,2020-06-08 00:00:00,3071
AUSYDA,2020-07-03 00:00:00,1833
AUSYDA,2020-07-10 00:00:00,2363
AUSYDA,2020-07-26 00:00:00,892
AUSYDA,2020-08-30 00:00:00,1056
AUSYDA,2020-10-10 00:00:00,1988
AUSYDA,2020-12-13 00:00:00,1400
BELGGA,2020-03-26 00:00:00,72
BELGGA,2020-04-12 00:00:00,37
BELGGA,2020-04-21 00:00:00,85
BELGGA,2020-05-06 00:00:00,110
BELGGA,2020-07-25 00:00:00,48
BELGGA,2020-08-17 00:00:00,192
BELGGA,2020-09-28 00:00:00,195
BELGGA,2020-10-23 00:00:00,91
BELGGA,2020-12-12 00:00:00,53
BELGGB,2020-03-14 00:00:00,23
BELGGB,2020-04-02 00:00:00,290
BELGGB,2020-04-07 00:00:00,188
BELGGB,2020-06-01 00:00:00,666
BELGGB,2020-06-21 00:00:00,126
BELGGB,2020-07-02 00:00:00,442
BELGGB,2020-07-25 00:00:00,687
BELGGB,2021-01-11 00:00:00,2847
CAMSGA,2020-02-23 00:00:00,380
CAMSGA,2020-12-08 00:00:00,1112
CAMSGA,2020-12-30 00:00:00,1011
CAYYZA,2020-01-13 00:00:00,1
CAYYZA,2020-02-18 00:00:00,1
CNDGMA,2020-03-07 00:00:00,6
CNDGMA,2020-04-06 00:00:00,3
CNDGMA,2020-06-18 00:00:00,2
CNHKGB,2020-02-14 00:00:00,556
CNHKGB,2020-03-11 00:00:00,603
CNHKGB,2020-05-28 00:00:00,1157
CNHKGB,2020-06-24 00:00:00,1868
CNHKGB,2020-07-12 00:00:00,212
CNHKGB,2020-08-15 00:00:00,1169
CZPRGA,2020-01-31 00:00:00,8059
CZPRGA,2020-03-15 00:00:00,2687
CZPRGA,2020-04-04 00:00:00,5992
CZPRGA,2020-05-29 00:00:00,9974
CZPRGA,2020-05-30 00:00:00,6367
CZPRGA,2020-06-01 00:00:00,14651
CZPRGA,2020-09-23 00:00:00,9954
CZPRGA,2020-11-02 00:00:00,18340
DEFRAA,2020-02-08 00:00:00,1608
DEFRAA,2020-03-17 00:00:00,2556
DEFRAA,2020-06-08 00:00:00,6092
DEFRAA,2020-07-29 00:00:00,5112
DEFRAA,2020-10-08 00:00:00,7261
DEFRAA,2020-12-23 00:00:00,5482
DEFRAA,2021-01-01 00:00:00,2703
DEFRAB,2020-03-13 00:00:00,4159
DEFRAB,2020-05-03 00:00:00,1440
DEFRAB,2020-07-12 00:00:00,226
DEFRAB,2020-08-04 00:00:00,7109
DEFRAB,2020-08-20 00:00:00,6670
DEFRAB,2020-11-05 00:00:00,10018
DEFRAB,2020-12-13 00:00:00,713
DEFRAB,2020-12-29 00:00:00,8662
DEFRAC,2020-10-14 00:00:00,169
DEFRAC,2020-10-24 00:00:00,2670
DEFRAC,2020-11-14 00:00:00,4702
ESMADA,2020-01-07 00:00:00,4892
ESMADA,2020-02-07 00:00:00,1998
ESMADA,2020-02-22 00:00:00,1169
ESMADA,2020-03-14 00:00:00,1309
ESMADA,2020-06-13 00:00:00,1260
ESMADA,2020-06-14 00:00:00,825
ESMADA,2020-06-24 00:00:00,2460
ESMADA,2020-08-22 00:00:00,1900
ESMADA,2020-11-14 00:00:00,6210
ESMADA,2020-11-19 00:00:00,6525
ESMADA,2020-12-19 00:00:00,5301
FRCDGA,2020-10-11 00:00:00,27
FRCDGA,2020-12-07 00:00:00,39
FRCDGA,2020-12-15 00:00:00,318
GBLONA,2020-01-21 00:00:00,3729
GBLONA,2020-05-22 00:00:00,3660
GBLONA,2020-07-05 00:00:00,1878
GBLONA,2020-07-24 00:00:00,3073
GBLONA,2020-07-25 00:00:00,2844
GBLTNA,2020-05-17 00:00:00,23235
GBLTNA,2020-07-29 00:00:00,24105
GBLTNA,2020-08-09 00:00:00,13575
GBLTNA,2020-10-19 00:00:00,39971
JPOSAA,2020-02-20 00:00:00,325
JPOSAA,2020-04-20 00:00:00,718
JPOSAA,2020-06-02 00:00:00,799
JPOSAA,2020-07-25 00:00:00,566
JPOSAA,2020-08-12 00:00:00,672
JPOSAA,2020-08-14 00:00:00,434
JPOSAA,2020-09-08 00:00:00,686
JPOSAA,2020-09-10 00:00:00,589
JPOSAA,2020-10-16 00:00:00,440
JPOSAA,2020-12-03 00:00:00,466
JPOSAA,2020-12-14 00:00:00,1718
JPOSAA,2021-01-08 00:00:00,366
PLSLBA,2020-02-11 00:00:00,399
PLSLBA,2020-04-01 00:00:00,716
PLSLBA,2020-06-15 00:00:00,2184
PLSLBA,2020-07-02 00:00:00,557
PLSLBA,2020-07-16 00:00:00,1238
PLSLBA,2020-10-02 00:00:00,398
PLSLBA,2020-12-21 00:00:00,106
PLSLBB,2020-08-19 00:00:00,611
PLSLBB,2020-09-10 00:00:00,703
PLSLBB,2020-10-29 00:00:00,1714
PLSLBB,2020-12-27 00:00:00,2016
USLAXA,2020-01-06 00:00:00,11954
USLAXA,2020-02-17 00:00:00,9138
USLAXA,2020-05-06 00:00:00,17559
USLAXA,2020-06-26 00:00:00,9869
USLAXA,2020-08-08 00:00:00,5793
USLAXA,2020-09-02 00:00:00,10912
USLAXA,2021-01-06 00:00:00,10971
USNYCA,2020-01-03 00:00:00,5087
USNYCA,2020-02-02 00:00:00,4972
USNYCA,2020-02-13 00:00:00,4407
USNYCA,2020-03-05 00:00:00,5132
USNYCA,2020-06-04 00:00:00,6471
USNYCA,2020-08-11 00:00:00,23449
USNYCA,2020-11-07 00:00:00,4790
USNYCA,2020-11-25 00:00:00,9616
